year,pid,urban,hhnature,total_asset,age,gender,educ,marriage,health,precarious_job,industry,workhour,wage_month,job_status,wage_year,social_status,job_satisfaction,provname,upbringing,inc_exp_p
2014,360012101.0,1.0,0.0,48.27000045776367,39.0,1.0,12.0,1.0,3.0,0.0,6.0,40.0,4000.0,1.0,48000.0,3.0,4.0,江西,0.5,1.4705883
2014,510353101.0,0.0,1.0,8.45119857788086,19.0,1.0,6.0,0.0,4.0,0.0,,70.0,,1.0,0.0,4.0,5.0,四川,0.6666667,0.07560137
2014,440263101.0,0.0,1.0,,53.0,1.0,6.0,1.0,1.0,0.0,,70.0,,1.0,0.0,1.0,5.0,广东,0.0,
2014,410950104.0,1.0,1.0,,39.0,0.0,6.0,1.0,4.0,0.0,5.0,40.0,,1.0,,,3.0,,1.0,
2014,520401101.0,0.0,1.0,24.040000915527344,46.0,1.0,9.0,1.0,2.0,0.0,,56.0,,1.0,0.0,3.0,3.0,贵州,0.0,1.2173781
2014,320027101.0,1.0,1.0,100.76321411132812,44.0,1.0,6.0,1.0,5.0,0.0,,7.0,,1.0,0.0,2.0,3.0,江苏,0.5,0.8
2014,311997101.0,1.0,0.0,338.45001220703125,42.0,0.0,15.0,1.0,3.0,0.0,16.0,40.0,2000.0,1.0,30000.0,3.0,3.0,上海,1.3333334,0.59675366
2014,410984104.0,0.0,1.0,,34.0,0.0,9.0,1.0,4.0,0.0,,,,0.0,,,,河南,0.0,
2014,621788104.0,1.0,1.0,10.723999977111816,52.0,1.0,9.0,1.0,4.0,0.0,,,,0.0,,3.0,,甘肃,0.0,0.40839663
2014,140328101.0,0.0,1.0,21.295000076293945,45.0,1.0,6.0,1.0,3.0,0.0,,21.0,,1.0,0.0,2.0,3.0,山西,1.0,0.6810631
2014,211209103.0,0.0,1.0,,23.0,0.0,12.0,0.0,4.0,1.0,,40.0,,1.0,,,4.0,辽宁,0.0,
2014,410328101.0,1.0,1.0,5.199999809265137,40.0,1.0,12.0,1.0,4.0,1.0,8.0,80.0,1800.0,1.0,18000.0,2.0,3.0,河南,0.33333334,1.4065132
2014,450296101.0,0.0,1.0,15.210000038146973,47.0,1.0,6.0,1.0,2.0,0.0,,14.0,,1.0,0.0,3.0,3.0,广西,0.0,1.1683816
2014,130832102.0,0.0,1.0,-10.700499534606934,48.0,1.0,6.0,1.0,3.0,0.0,,56.0,,1.0,0.0,3.0,5.0,河北,0.5,0.110383004
2014,130580101.0,0.0,1.0,28.88249969482422,44.0,1.0,6.0,1.0,3.0,0.0,5.0,50.0,5000.0,1.0,60000.0,3.0,4.0,河北,0.0,0.6597739
2014,140494101.0,1.0,0.0,55.36000061035156,49.0,0.0,9.0,0.0,2.0,1.0,14.0,,,1.0,,3.0,4.0,山西,0.33333334,0.15287402
2014,311230103.0,1.0,0.0,296.7469482421875,28.0,1.0,16.0,1.0,4.0,0.0,17.0,35.0,100.0,1.0,140000.0,3.0,3.0,,0.5,1.9933026
2014,230197101.0,1.0,0.0,0.5550000071525574,62.0,1.0,9.0,1.0,4.0,0.0,,,,0.0,,1.0,,黑龙江,0.5,0.7430034
2014,620799102.0,1.0,0.0,21.790000915527344,38.0,0.0,6.0,1.0,3.0,0.0,3.0,35.0,1700.0,1.0,18000.0,3.0,3.0,甘肃,0.0,0.77214307
2014,230221101.0,1.0,0.0,0.9200000166893005,54.0,0.0,9.0,1.0,5.0,1.0,,4.0,,1.0,12000.0,1.0,4.0,黑龙江,0.0,1.0506667
