pid,year,gender,age,educ,marriage,child_num,job,job_precarity,job_security_dummy,bianzhi,wage,industry,provname
530088102,2014,1.0,51,6.0,1.0,1,1,2.0,0.0,,1950.0,水利、环境和公共设施管理业,云南
530113101,2014,1.0,41,16.0,1.0,0,1,,1.0,,36000.0,公共管理和社会组织,云南
530096101,2014,1.0,37,6.0,1.0,1,1,,0.0,,15800.0,建筑业,云南
530090102,2014,0.0,47,0.0,1.0,0,1,,0.0,,10200.0,建筑业,云南
530104101,2014,0.0,48,15.0,0.0,0,1,2.0,1.0,,70000.0,制造业,云南
530436101,2014,1.0,38,9.0,1.0,1,1,,0.0,,3000.0,住宿和餐饮业,云南
530367101,2014,1.0,49,9.0,1.0,0,1,,0.0,,6000.0,住宿和餐饮业,云南
530342101,2014,0.0,49,9.0,1.0,0,1,,,,,交通运输、仓储和邮政业,云南
530369101,2014,0.0,45,9.0,1.0,1,1,2.0,0.0,,30000.0,批发和零售业,云南
530319103,2014,1.0,24,15.0,1.0,1,0,,0.0,,18000.0,教育,云南
530373102,2014,0.0,46,0.0,1.0,1,1,,0.0,,20000.0,批发和零售业,云南
530014103,2014,1.0,25,15.0,0.0,0,1,2.0,1.0,,20000.0,租赁和商务服务业,云南
530004103,2014,1.0,31,16.0,1.0,1,1,2.0,1.0,,,卫生、社会保障和社会福利业,云南
500014101,2014,1.0,42,9.0,1.0,0,1,,0.0,,28000.0,建筑业,重庆
500357103,2014,0.0,59,9.0,1.0,1,0,,0.0,,30000.0,建筑业,重庆
500036101,2014,1.0,40,15.0,1.0,1,1,2.0,0.0,,48000.0,卫生、社会保障和社会福利业,重庆
500003101,2014,0.0,51,12.0,1.0,0,1,2.0,1.0,,30000.0,无法编码,重庆
500277101,2014,1.0,58,0.0,1.0,1,1,,0.0,,13000.0,制造业,重庆
500265101,2014,1.0,42,9.0,0.0,0,1,2.0,1.0,,15600.0,租赁和商务服务业,重庆
500279104,2014,1.0,44,6.0,1.0,0,1,2.0,1.0,,14400.0,教育,重庆
500004101,2014,0.0,39,12.0,1.0,1,1,2.0,1.0,,80000.0,制造业,重庆
500362103,2014,1.0,22,15.0,0.0,0,1,,0.0,,,房地产业,重庆
500374102,2014,0.0,46,12.0,1.0,0,0,2.0,,,,采矿业,重庆
500375107,2014,1.0,20,6.0,1.0,0,1,2.0,0.0,,20000.0,交通运输、仓储和邮政业,重庆
500386101,2014,0.0,29,9.0,1.0,2,1,,0.0,,,居民服务和其他服务业,重庆
500168531,2014,0.0,47,6.0,1.0,0,0,,,,,建筑业,重庆
520066102,2014,1.0,23,9.0,1.0,1,0,,0.0,,3600.0,制造业,贵州
520036101,2014,0.0,39,6.0,1.0,0,1,,,,20000.0,,贵州
520037102,2014,0.0,40,9.0,1.0,0,1,,0.0,,40000.0,制造业,贵州
520070102,2014,1.0,45,,1.0,0,1,,,,,,贵州
520093101,2014,1.0,38,0.0,1.0,2,0,2.0,,,,制造业,贵州
520016101,2014,0.0,36,0.0,1.0,1,1,,0.0,,30000.0,建筑业,贵州
520027101,2014,0.0,50,6.0,1.0,0,1,,0.0,,,建筑业,贵州
520197105,2014,1.0,22,12.0,0.0,0,1,,1.0,,,批发和零售业,贵州
520201101,2014,0.0,36,6.0,1.0,5,1,,0.0,,32000.0,建筑业,贵州
520197103,2014,0.0,25,9.0,1.0,1,1,,0.0,,,建筑业,贵州
520166101,2014,0.0,34,9.0,1.0,1,1,2.0,,,36000.0,,贵州
520302104,2014,1.0,24,9.0,1.0,1,1,,0.0,,,信息传播、计算机服务和软件业,贵州
520279101,2014,1.0,34,16.0,0.0,1,1,,0.0,,42000.0,公共管理和社会组织,贵州
520304103,2014,0.0,29,9.0,1.0,1,1,,0.0,,20000.0,,贵州
520315103,2014,0.0,27,9.0,1.0,1,1,2.0,0.0,,18000.0,制造业,贵州
520233101,2014,0.0,29,12.0,0.0,0,1,,0.0,,16400.0,住宿和餐饮业,贵州
520453103,2014,0.0,34,6.0,1.0,1,1,,0.0,,30000.0,电力、燃气及水的生产和供应业,贵州
520318104,2014,1.0,26,0.0,1.0,0,1,,0.0,,,房地产业,贵州
520366101,2014,0.0,40,6.0,1.0,1,1,,,,,,贵州
520376105,2014,1.0,25,9.0,1.0,2,0,,0.0,,10000.0,制造业,贵州
520372101,2014,1.0,47,9.0,1.0,2,1,,0.0,,10000.0,公共管理和社会组织,贵州
520364102,2014,0.0,41,12.0,1.0,1,1,,,,8000.0,,贵州
520380102,2014,1.0,47,6.0,1.0,0,1,2.0,0.0,,2500.0,居民服务和其他服务业,贵州
520513101,2014,1.0,39,0.0,1.0,1,1,2.0,0.0,,30000.0,制造业,贵州
520472101,2014,0.0,52,6.0,1.0,0,1,,,,,,贵州
520485103,2014,0.0,37,6.0,1.0,2,1,,,,13000.0,,贵州
520561102,2014,0.0,38,6.0,1.0,0,1,,0.0,,,建筑业,贵州
520478104,2014,0.0,28,9.0,1.0,0,1,,0.0,,,住宿和餐饮业,贵州
520487102,2014,0.0,28,6.0,1.0,1,1,,0.0,,28000.0,建筑业,贵州
520503104,2014,1.0,33,0.0,1.0,2,0,,,,,制造业,贵州
520507101,2014,0.0,37,6.0,1.0,1,1,,0.0,,,建筑业,贵州
350111103,2014,0.0,28,12.0,1.0,0,1,2.0,1.0,,,卫生、社会保障和社会福利业,福建
350033105,2014,0.0,27,9.0,0.0,0,1,,0.0,,40000.0,制造业,福建
